RANK,FULL NAME,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG,YEAR,Franchise
438,Cameron McGriff,F,24.53,3,15.3,31.9,14.0,0.0,2.0,1.0,8.0,0.375,6.0,0.333,0.429,0.47,4.7,5.0,17.9,1.0,9.4,0.0,0.33,0.0,7.5,124.7,104.4,2021-2022,Portland Trail Blazers
443,Ben McLemore,G,29.16,64,20.1,41.8,21.3,8.7,88.0,0.818,122.0,0.533,417.0,0.362,0.541,0.567,10.2,1.6,4.4,0.9,7.3,0.59,0.16,0.86,4.9,107.7,114.3,2021-2022,Portland Trail Blazers
480,Larry Nance Jr.,F-C,29.27,37,23.2,48.3,12.4,11.0,49.0,0.653,136.0,0.61,62.0,0.306,0.563,0.581,6.9,5.6,13.3,2.0,12.5,1.03,0.35,0.73,7.3,123.2,110.6,2021-2022,Portland Trail Blazers
492,Jusuf Nurkic,C,27.63,56,28.2,58.7,23.6,16.6,268.0,0.69,544.0,0.563,56.0,0.268,0.548,0.586,15.0,11.1,21.5,2.8,16.6,1.11,0.61,2.55,11.0,112.5,103.0,2021-2022,Portland Trail Blazers
521,Reggie Perry,F-C,22.06,9,19.7,41.1,23.3,11.5,15.0,0.6,62.0,0.581,16.0,0.188,0.519,0.532,10.0,5.1,14.2,1.3,11.6,1.0,0.67,1.22,8.2,105.4,99.7,2021-2022,Portland Trail Blazers
539,Norman Powell,G,28.88,40,33.3,69.4,22.5,9.0,198.0,0.803,313.0,0.492,229.0,0.406,0.542,0.593,18.7,3.3,5.4,2.1,10.0,1.0,0.43,1.55,6.1,114.6,115.1,2021-2022,Portland Trail Blazers
595,Anfernee Simons,G,22.84,57,29.5,61.4,24.8,11.9,116.0,0.888,355.0,0.49,442.0,0.405,0.555,0.583,17.3,2.6,4.9,3.9,22.2,0.53,0.11,2.02,7.6,111.9,116.6,2021-2022,Portland Trail Blazers
602,Dennis Smith Jr.,G,24.38,37,17.3,36.0,18.2,19.0,64.0,0.656,162.0,0.451,27.0,0.222,0.434,0.474,5.6,2.4,7.5,3.6,30.5,1.22,0.32,1.38,8.4,101.5,110.4,2021-2022,Portland Trail Blazers
609,Tony Snell,G,30.42,38,14.4,29.9,8.7,10.1,3.0,1.0,22.0,0.545,75.0,0.32,0.495,0.503,2.6,1.9,7.2,0.6,5.2,0.21,0.18,0.29,4.0,103.8,114.0,2021-2022,Portland Trail Blazers
680,Trendon Watford,F,21.42,48,18.1,37.7,17.6,12.5,94.0,0.755,229.0,0.581,38.0,0.237,0.549,0.59,7.6,4.1,12.5,1.7,14.6,0.54,0.58,0.92,8.3,118.7,105.4,2021-2022,Portland Trail Blazers
693,Brandon Williams,G,22.38,24,26.7,55.5,25.9,15.2,97.0,0.701,176.0,0.42,106.0,0.292,0.427,0.476,12.9,3.1,6.3,3.9,23.1,1.0,0.42,2.42,8.1,96.0,113.2,2021-2022,Portland Trail Blazers
702,Justise Winslow,F-G,26.04,11,26.8,55.9,20.4,8.6,25.0,0.56,79.0,0.468,37.0,0.27,0.448,0.465,10.7,6.3,12.8,2.9,16.9,1.27,0.64,1.09,8.7,103.5,111.4,2021-2022,Portland Trail Blazers
715,Cody Zeller,F-C,29.51,27,13.1,27.4,16.0,14.6,49.0,0.776,86.0,0.593,4.0,0.0,0.567,0.627,5.2,4.6,19.3,0.8,9.4,0.3,0.22,0.7,8.2,128.3,101.8,2021-2022,Portland Trail Blazers
25,Giannis Antetokounmpo,F,24.52,15,34.3,71.4,32.2,13.0,168.0,0.637,207.0,0.536,55.0,0.327,0.527,0.57,25.5,12.3,18.0,4.9,25.1,1.13,2.0,3.33,13.5,111.5,94.9,2018-2019,Milwaukee Bucks
26,Eric Bledsoe,G,29.51,15,28.2,58.8,24.4,13.7,51.0,0.706,113.0,0.522,72.0,0.236,0.457,0.494,13.7,3.7,6.6,4.3,23.7,1.07,0.4,2.2,8.5,101.7,102.6,2018-2019,Milwaukee Bucks
27,Pat Connaughton,G,26.44,15,21.6,45.0,11.7,9.0,8.0,0.5,35.0,0.629,42.0,0.357,0.578,0.577,6.2,6.2,14.4,1.4,9.2,0.33,0.87,0.53,7.0,116.7,102.1,2018-2019,Milwaukee Bucks
28,George Hill,G,33.11,15,26.3,54.8,15.0,4.3,33.0,0.818,70.0,0.614,48.0,0.417,0.619,0.653,11.5,3.5,6.7,2.8,16.2,0.87,0.27,0.4,7.3,138.7,100.6,2018-2019,Milwaukee Bucks
29,Ersan Ilyasova,F,32.08,15,18.2,37.8,15.4,6.1,25.0,0.8,41.0,0.561,40.0,0.3,0.506,0.554,6.8,4.7,12.9,1.4,11.2,0.67,0.4,0.4,7.8,122.5,91.7,2018-2019,Milwaukee Bucks
30,Brook Lopez,C,31.2,15,29.2,60.8,15.3,6.4,29.0,0.828,59.0,0.661,75.0,0.293,0.537,0.572,11.2,5.5,9.4,1.4,7.1,0.4,1.87,0.67,6.1,116.1,98.1,2018-2019,Milwaukee Bucks
31,Khris Middleton,F,27.84,15,34.4,71.6,21.0,11.5,52.0,0.885,109.0,0.404,92.0,0.435,0.517,0.567,16.9,6.3,9.2,4.4,19.6,0.6,0.0,1.93,9.0,112.9,99.9,2018-2019,Milwaukee Bucks
42,Nikola Mirotic,F,28.34,14,21.3,44.3,20.6,9.8,28.0,0.821,41.0,0.537,76.0,0.289,0.47,0.514,9.5,4.3,10.1,0.7,5.0,0.71,0.21,1.0,5.7,102.7,99.6,2018-2019,Milwaukee Bucks
60,Tim Frazier,G,28.62,11,3.6,7.5,18.2,17.8,2.0,1.0,7.0,0.714,6.0,0.5,0.731,0.756,1.9,0.8,11.3,0.9,40.7,0.18,0.0,0.27,12.3,,,2018-2019,Milwaukee Bucks
62,Sterling Brown,G,24.34,11,14.7,30.7,13.5,15.7,11.0,0.727,17.0,0.471,21.0,0.333,0.487,0.525,4.1,2.7,9.3,1.7,16.2,0.55,0.27,0.73,7.2,107.5,96.7,2018-2019,Milwaukee Bucks
78,Tony Snell,G,27.59,9,3.2,6.6,9.1,0.0,0.0,0.0,4.0,0.25,2.0,0.5,0.417,0.417,0.6,0.2,3.5,0.0,0.0,0.11,0.11,0.0,0.0,,,2018-2019,Milwaukee Bucks
80,D.J. Wilson,F,23.32,8,5.3,11.1,24.0,29.3,2.0,1.0,11.0,0.636,5.0,0.2,0.531,0.563,2.4,1.3,11.7,0.5,14.9,0.0,0.13,0.88,8.8,84.9,91.6,2018-2019,Milwaukee Bucks
96,Malcolm Brogdon,G,26.51,7,28.3,59.0,20.1,10.8,11.0,0.636,41.0,0.512,37.0,0.378,0.538,0.549,13.0,4.9,8.6,3.4,18.9,0.71,0.14,1.43,8.5,110.2,100.5,2018-2019,Milwaukee Bucks
6,Giannis Antetokounmpo,F,25.85,9,30.8,64.2,35.2,13.2,81.0,0.58,121.0,0.636,40.0,0.325,0.599,0.61,26.7,13.8,24.0,5.7,36.6,0.67,0.89,3.33,16.6,117.4,91.0,2019-2020,Milwaukee Bucks
15,Eric Bledsoe,G,30.84,9,29.7,61.8,21.3,17.4,26.0,0.808,66.0,0.455,32.0,0.25,0.429,0.48,11.7,4.6,8.2,5.9,29.0,1.22,0.67,2.56,9.2,99.6,98.9,2019-2020,Milwaukee Bucks
22,Sterling Brown,G-F,25.67,1,3.6,7.5,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,,,2019-2020,Milwaukee Bucks
38,Pat Connaughton,G,27.76,10,17.1,35.6,10.3,12.2,2.0,1.0,12.0,0.583,23.0,0.348,0.543,0.557,4.0,3.9,12.2,1.1,8.7,0.2,0.2,0.5,6.0,112.3,99.7,2019-2020,Milwaukee Bucks
49,Donte DiVincenzo,G,23.7,10,16.5,34.4,18.2,14.3,20.0,0.65,30.0,0.533,21.0,0.333,0.52,0.552,6.6,3.2,10.4,1.2,10.6,0.7,0.3,1.0,7.1,106.5,93.1,2019-2020,Milwaukee Bucks
86,George Hill,G,34.44,10,26.8,55.9,15.1,16.9,26.0,0.808,39.0,0.564,28.0,0.357,0.552,0.606,9.5,2.4,4.8,3.1,16.3,0.6,0.0,1.6,6.2,114.6,102.9,2019-2020,Milwaukee Bucks
98,Ersan Ilyasova,F,33.41,3,7.8,16.3,20.0,9.2,2.0,1.0,4.0,0.5,5.0,0.2,0.389,0.455,3.0,1.3,9.2,0.0,0.0,0.67,0.0,0.33,0.0,85.4,89.6,2019-2020,Milwaukee Bucks
114,Kyle Korver,G-F,39.57,10,11.9,24.8,20.0,9.1,7.0,1.0,10.0,0.5,37.0,0.405,0.585,0.619,6.2,0.9,4.1,0.1,1.3,0.2,0.2,0.5,2.8,110.5,102.0,2019-2020,Milwaukee Bucks
123,Brook Lopez,C,32.53,10,32.8,68.3,17.7,8.9,20.0,0.75,61.0,0.656,53.0,0.396,0.627,0.643,15.8,5.5,9.0,0.5,2.4,1.0,1.3,1.2,4.3,120.0,99.4,2019-2020,Milwaukee Bucks
124,Robin Lopez,C,32.53,3,6.9,14.3,8.4,0.0,0.0,0.0,4.0,0.75,0.0,0.0,0.75,0.75,2.0,1.3,10.4,0.0,0.0,0.0,0.0,0.0,0.0,145.2,97.8,2019-2020,Milwaukee Bucks
130,Frank Mason,G,26.53,2,1.1,2.2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.5,57.6,0.0,0.0,0.0,0.0,,,2019-2020,Milwaukee Bucks
131,Wesley Matthews,G,34.0,10,24.6,51.3,12.0,10.2,10.0,0.7,14.0,0.5,43.0,0.395,0.57,0.586,7.2,1.8,3.9,0.9,5.0,0.9,0.4,0.7,3.7,112.5,100.6,2019-2020,Milwaukee Bucks
138,Khris Middleton,F,29.17,10,35.5,74.0,28.4,14.5,46.0,0.826,115.0,0.417,65.0,0.354,0.458,0.507,20.3,6.9,10.4,6.0,26.9,1.1,0.2,3.4,10.6,99.9,94.2,2019-2020,Milwaukee Bucks
214,Marvin Williams,F,34.32,10,17.9,37.2,12.4,5.8,3.0,1.0,24.0,0.458,23.0,0.435,0.553,0.569,5.5,4.8,14.4,0.9,7.1,0.5,0.3,0.3,6.4,123.6,97.9,2019-2020,Milwaukee Bucks
1,Pat Connaughton,G,28.54,23,23.7,49.4,10.7,8.8,13.0,0.846,24.0,0.75,95.0,0.389,0.618,0.633,6.9,4.4,9.9,0.9,4.8,0.43,0.26,0.52,5.1,129.0,107.6,2020-2021,Milwaukee Bucks
2,Bryn Forbes,G,28.0,20,13.7,28.5,19.2,5.7,8.0,0.75,23.0,0.565,89.0,0.371,0.558,0.567,6.6,1.4,5.3,0.3,3.1,0.1,0.1,0.35,4.1,110.1,110.5,2020-2021,Milwaukee Bucks
3,Jrue Holiday,G,31.11,23,39.6,82.6,22.1,11.9,56.0,0.714,247.0,0.466,142.0,0.303,0.461,0.482,17.3,5.7,7.8,8.7,31.4,1.65,0.43,2.43,9.6,108.9,108.4,2020-2021,Milwaukee Bucks
4,Brook Lopez,C,33.3,23,29.0,60.4,16.8,9.6,43.0,0.86,145.0,0.662,72.0,0.319,0.601,0.632,13.0,5.9,10.9,0.3,1.3,0.74,1.48,1.09,3.9,122.1,106.8,2020-2021,Milwaukee Bucks
5,Khris Middleton,F,29.94,23,40.1,83.5,26.4,13.0,97.0,0.887,277.0,0.498,175.0,0.343,0.504,0.548,23.6,7.6,10.1,5.1,19.6,1.52,0.17,3.22,9.7,107.8,106.3,2020-2021,Milwaukee Bucks
6,P.J. Tucker,F,36.21,23,29.6,61.7,6.9,9.1,4.0,0.75,39.0,0.487,59.0,0.322,0.485,0.491,4.3,4.8,8.7,1.1,4.5,0.96,0.13,0.43,3.8,119.6,103.0,2020-2021,Milwaukee Bucks
26,Giannis Antetokounmpo,F,26.62,21,38.1,79.3,31.8,10.8,206.0,0.587,369.0,0.642,70.0,0.186,0.584,0.599,30.2,12.8,18.0,5.1,24.3,1.0,1.19,3.05,13.2,117.9,103.1,2020-2021,Milwaukee Bucks
30,Bobby Portis,F,26.44,20,18.3,38.1,20.0,5.3,25.0,0.72,99.0,0.525,52.0,0.346,0.523,0.543,8.8,5.0,14.7,0.6,4.8,0.7,0.35,0.45,6.5,116.5,103.4,2020-2021,Milwaukee Bucks
36,Thanasis Antetokounmpo,F,29.01,13,3.5,7.2,12.1,23.7,6.0,0.833,7.0,0.286,0.0,0.0,0.286,0.467,0.7,0.8,11.9,0.2,8.1,0.38,0.15,0.23,5.5,,,2020-2021,Milwaukee Bucks
37,Jeff Teague,G,33.11,16,7.5,15.5,15.0,14.3,11.0,0.818,20.0,0.2,11.0,0.455,0.371,0.446,2.0,0.5,3.6,0.8,13.7,0.19,0.0,0.38,5.0,97.7,108.6,2020-2021,Milwaukee Bucks
62,Elijah Bryant,G,20.0,11,4.5,9.4,19.0,9.1,0.0,0.0,12.0,0.583,8.0,0.0,0.35,0.35,1.3,1.1,13.0,0.4,11.1,0.18,0.09,0.18,7.4,81.6,109.8,2020-2021,Milwaukee Bucks
85,Sam Merrill,G,25.18,8,3.7,7.7,11.6,12.5,0.0,0.0,2.0,0.5,5.0,0.2,0.357,0.357,0.6,0.6,9.1,0.1,4.2,0.5,0.0,0.13,3.6,,,2020-2021,Milwaukee Bucks
96,Mamadi Diakite,F,24.5,7,5.0,10.4,14.6,8.4,2.0,1.0,8.0,0.125,2.0,0.5,0.25,0.322,1.0,1.0,10.7,0.0,0.0,0.43,0.14,0.14,0.0,71.3,88.2,2020-2021,Milwaukee Bucks
165,Justin Jackson,F,26.32,5,3.0,6.2,17.4,16.7,0.0,0.0,3.0,1.0,2.0,0.0,0.6,0.6,1.2,0.4,7.2,0.2,10.1,0.2,0.0,0.2,6.1,,,2020-2021,Milwaukee Bucks
167,Jordan Nwora,F,22.86,5,6.2,12.9,30.5,4.5,7.0,0.714,10.0,0.2,8.0,0.25,0.278,0.356,3.0,1.8,15.6,0.2,4.4,0.0,0.2,0.2,6.6,90.9,112.8,2020-2021,Milwaukee Bucks
191,Axel Toupane,G-F,20.0,4,2.5,5.1,17.5,0.0,0.0,0.0,2.0,0.5,2.0,0.5,0.625,0.625,1.3,1.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,,,2020-2021,Milwaukee Bucks
196,Donte DiVincenzo,G,24.47,3,23.3,48.5,13.5,27.3,0.0,0.0,4.0,0.25,12.0,0.167,0.25,0.25,2.7,6.3,14.6,2.7,13.9,1.0,0.33,2.0,6.1,63.4,104.6,2020-2021,Milwaukee Bucks
8,Grayson Allen,G,26.51,66,27.3,57.0,15.2,6.7,74.0,0.865,180.0,0.533,389.0,0.409,0.588,0.609,11.1,3.4,6.5,1.5,7.6,0.7,0.27,0.65,5.6,121.7,110.7,2021-2022,Milwaukee Bucks
14,Giannis Antetokounmpo,F,27.35,67,32.9,68.5,34.9,12.2,766.0,0.722,1003.0,0.616,242.0,0.293,0.582,0.633,29.9,11.6,18.7,5.8,31.7,1.07,1.36,3.27,15.3,123.9,100.5,2021-2022,Milwaukee Bucks
15,Thanasis Antetokounmpo,F,29.73,48,9.9,20.5,15.7,14.9,46.0,0.63,114.0,0.596,14.0,0.143,0.555,0.577,3.6,2.1,11.3,0.5,6.5,0.33,0.25,0.54,6.3,113.4,99.6,2021-2022,Milwaukee Bucks
49,DeAndre' Bembry,G-F,27.77,8,9.6,20.1,5.0,11.1,0.0,0.0,8.0,0.375,0.0,0.0,0.375,0.375,0.8,1.4,7.6,0.8,9.4,0.25,0.0,0.13,4.0,116.4,104.1,2021-2022,Milwaukee Bucks
108,Jevon Carter,G,26.57,20,17.7,36.8,10.9,8.8,8.0,1.0,36.0,0.444,43.0,0.558,0.658,0.679,5.6,2.2,6.5,2.5,18.8,0.5,0.2,0.4,7.1,142.3,109.4,2021-2022,Milwaukee Bucks
127,Pat Connaughton,G,29.26,65,26.0,54.2,14.0,6.3,54.0,0.833,126.0,0.643,370.0,0.395,0.605,0.62,9.9,4.2,8.6,1.3,6.6,0.89,0.23,0.54,5.8,124.7,109.6,2021-2022,Milwaukee Bucks
131,DeMarcus Cousins,C,31.66,17,16.9,35.1,22.4,10.6,38.0,0.816,70.0,0.6,48.0,0.271,0.521,0.572,9.1,5.8,18.1,1.1,9.3,0.94,0.47,0.94,9.2,116.0,93.0,2021-2022,Milwaukee Bucks
150,Javin DeLaurier,C,20.0,1,2.8,5.8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,18.9,0.0,0.0,1.0,0.0,0.0,0.0,,,2021-2022,Milwaukee Bucks
158,Donte DiVincenzo,G,25.19,17,20.1,41.8,19.8,17.7,27.0,0.852,44.0,0.409,74.0,0.284,0.419,0.47,7.2,3.5,9.3,1.7,11.3,0.65,0.18,1.65,7.0,93.9,107.3,2021-2022,Milwaukee Bucks
167,Jeff Dowtin,G,24.92,1,3.0,6.3,14.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2021-2022,Milwaukee Bucks
216,Langston Galloway,G,30.34,3,16.2,33.7,12.3,7.1,0.0,0.0,5.0,0.2,8.0,0.0,0.077,0.077,0.7,3.3,10.9,2.3,17.0,0.33,0.0,0.33,4.3,56.4,110.7,2021-2022,Milwaukee Bucks
279,George Hill,G,35.94,54,23.2,48.3,11.7,11.9,62.0,0.919,141.0,0.546,134.0,0.306,0.504,0.552,6.2,2.9,6.6,2.2,12.4,0.78,0.11,0.76,5.9,117.7,110.2,2021-2022,Milwaukee Bucks
287,Jrue Holiday,G,31.83,67,32.9,68.6,23.5,15.0,180.0,0.761,633.0,0.547,321.0,0.411,0.57,0.593,18.3,4.5,7.3,6.8,31.8,1.6,0.43,2.73,10.0,117.4,108.4,2021-2022,Milwaukee Bucks
291,Rodney Hood,G-F,29.47,39,14.9,31.1,10.6,4.9,14.0,0.929,51.0,0.431,80.0,0.3,0.443,0.47,3.3,1.7,6.1,0.8,6.5,0.31,0.1,0.18,4.4,107.1,112.0,2021-2022,Milwaukee Bucks
310,Serge Ibaka,F,32.56,19,17.8,37.2,15.2,8.3,15.0,0.8,67.0,0.612,37.0,0.351,0.582,0.601,7.0,5.3,15.6,0.7,5.4,0.21,0.37,0.53,6.7,122.2,99.2,2021-2022,Milwaukee Bucks
358,Georgios Kalaitzakis,F,23.27,9,5.3,11.1,16.9,21.1,9.0,0.444,7.0,0.429,4.0,0.5,0.545,0.535,1.8,0.9,8.9,0.0,0.0,0.11,0.11,0.44,0.0,94.0,99.1,2021-2022,Milwaukee Bucks
375,Luke Kornet,F-C,26.74,1,3.0,6.3,14.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,,,2021-2022,Milwaukee Bucks
400,Brook Lopez,C,34.03,13,23.0,47.8,21.9,7.8,23.0,0.87,78.0,0.538,53.0,0.358,0.538,0.57,12.4,4.1,9.4,0.5,3.0,0.62,1.15,0.92,5.1,112.9,103.6,2021-2022,Milwaukee Bucks
411,Sandro Mamukelashvili,F-C,22.89,41,9.9,20.7,14.6,10.7,22.0,0.818,63.0,0.556,52.0,0.423,0.591,0.618,3.8,2.0,10.7,0.5,7.4,0.22,0.22,0.37,6.3,126.6,108.9,2021-2022,Milwaukee Bucks
425,Wesley Matthews,G,35.49,49,20.5,42.6,10.7,7.2,28.0,0.786,63.0,0.54,157.0,0.338,0.516,0.536,5.1,1.9,4.9,0.7,4.6,0.47,0.16,0.37,3.7,112.9,108.3,2021-2022,Milwaukee Bucks
447,Khris Middleton,F,30.66,66,32.4,67.6,26.7,14.2,291.0,0.89,587.0,0.494,434.0,0.373,0.522,0.577,20.1,5.4,8.8,5.4,25.5,1.15,0.27,2.88,10.3,112.5,106.6,2021-2022,Milwaukee Bucks
459,Greg Monroe,F-C,31.85,5,13.9,29.0,17.8,10.4,9.0,0.556,22.0,0.5,0.0,0.0,0.5,0.52,5.4,4.2,16.0,0.4,4.0,0.6,0.4,0.6,6.0,115.8,103.3,2021-2022,Milwaukee Bucks
494,Jordan Nwora,F,23.59,62,19.1,39.8,19.4,10.6,43.0,0.837,235.0,0.455,227.0,0.348,0.488,0.506,7.9,3.6,9.9,1.0,7.0,0.39,0.27,0.92,6.4,99.6,108.3,2021-2022,Milwaukee Bucks
495,Semi Ojeleye,F,27.35,20,15.4,32.0,11.2,6.2,13.0,0.769,29.0,0.241,41.0,0.268,0.336,0.376,2.9,2.9,10.0,0.3,2.0,0.25,0.25,0.25,3.5,97.0,107.8,2021-2022,Milwaukee Bucks
533,Bobby Portis,F,27.16,72,28.2,58.7,21.3,8.9,113.0,0.752,533.0,0.533,338.0,0.393,0.555,0.571,14.6,9.1,17.2,1.2,6.4,0.74,0.71,1.25,7.7,115.7,103.6,2021-2022,Milwaukee Bucks
561,Justin Robinson,G,24.5,17,11.6,24.2,14.9,16.0,2.0,1.0,20.0,0.4,37.0,0.27,0.404,0.415,2.8,0.8,3.5,1.2,13.7,0.47,0.0,0.65,4.8,87.4,107.5,2021-2022,Milwaukee Bucks
599,Javonte Smart,G,22.86,13,12.3,25.6,14.6,16.5,6.0,0.833,25.0,0.28,18.0,0.222,0.302,0.34,2.4,1.5,6.3,1.1,10.9,0.31,0.15,0.69,5.1,77.4,109.3,2021-2022,Milwaukee Bucks
653,Rayjon Tucker,G,24.55,2,20.8,43.3,9.6,10.7,3.0,0.667,4.0,0.5,3.0,1.0,0.929,0.901,7.5,2.0,5.1,3.0,19.3,1.5,0.0,0.5,6.8,174.5,109.8,2021-2022,Milwaukee Bucks
691,Lindell Wigginton,G,24.04,19,10.5,21.8,18.9,13.6,35.0,0.543,35.0,0.486,26.0,0.346,0.5,0.524,4.2,1.3,6.7,1.2,15.7,0.32,0.05,0.63,7.1,104.5,106.7,2021-2022,Milwaukee Bucks
15,Khris Middleton,F,31.8,5,34.6,28.3,16.4,30.0,0.867,54.0,0.5,32.0,0.406,0.541,0.6,23.8,6.4,6.2,0.6,0.0,3.4,30.2,30.0,36.4,11.3,117.1,106.8,2022-2023,Milwaukee Bucks
20,Giannis Antetokounmpo,F,28.5,3,30.5,37.1,20.8,31.0,0.452,50.0,0.56,3.0,0.0,0.528,0.525,23.3,11.0,5.3,0.3,0.7,4.7,34.3,28.7,39.7,14.5,99.3,102.5,2022-2023,Milwaukee Bucks
30,Brook Lopez,C,35.2,5,36.3,19.4,14.0,13.0,0.769,50.0,0.64,17.0,0.412,0.634,0.653,19.0,6.4,1.2,1.4,1.8,2.2,25.4,20.2,26.6,5.8,119.3,110.0,2022-2023,Milwaukee Bucks
37,Jrue Holiday,G,33.0,5,38.1,22.7,12.3,13.0,0.692,43.0,0.512,42.0,0.286,0.471,0.491,17.8,6.6,8.0,1.0,0.4,2.4,24.4,25.8,32.4,10.3,108.1,108.6,2022-2023,Milwaukee Bucks
60,Pat Connaughton,G,30.4,4,22.1,16.1,6.2,4.0,0.75,7.0,0.857,23.0,0.478,0.75,0.756,12.0,5.0,1.8,1.0,0.3,0.5,17.0,13.8,18.8,8.6,148.1,101.3,2022-2023,Milwaukee Bucks
63,Grayson Allen,G,27.7,5,29.9,13.6,8.8,7.0,0.857,12.0,0.417,29.0,0.483,0.634,0.658,11.6,2.4,1.8,0.4,0.0,0.8,14.0,13.4,15.8,4.9,127.5,113.2,2022-2023,Milwaukee Bucks
76,Bobby Portis,F,28.3,5,21.5,18.2,8.8,3.0,1.0,23.0,0.652,18.0,0.278,0.549,0.567,9.6,8.2,1.2,0.6,0.4,0.8,17.8,10.8,19.0,8.5,118.5,96.6,2022-2023,Milwaukee Bucks
103,Joe Ingles,F-G,35.7,5,17.8,13.7,20.7,0.0,0.0,3.0,0.667,20.0,0.5,0.739,0.739,6.8,1.2,2.0,0.6,0.2,1.2,8.0,8.8,10.0,5.7,123.1,109.0,2022-2023,Milwaukee Bucks
116,Wesley Matthews,G,36.7,2,20.7,9.2,0.0,0.0,0.0,2.0,0.0,7.0,0.571,0.667,0.667,6.0,1.5,0.5,1.0,0.5,0.0,7.5,6.5,8.0,3.2,140.8,108.9,2022-2023,Milwaukee Bucks
153,MarJon Beauchamp,F,22.7,2,2.6,24.3,0.0,0.0,0.0,2.0,0.5,1.0,1.0,0.833,0.833,2.5,0.5,0.0,0.0,0.0,0.0,3.0,2.5,3.0,0.0,,,2022-2023,Milwaukee Bucks
163,Goran Dragic,G,37.1,2,3.7,21.7,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.532,2.0,0.0,0.5,0.0,0.0,0.0,2.0,2.5,2.5,0.0,,,2022-2023,Milwaukee Bucks
165,Jae Crowder,F,32.9,4,10.3,15.3,7.0,2.0,0.5,7.0,0.429,6.0,0.0,0.231,0.252,1.8,1.0,0.8,0.5,0.0,0.3,2.8,2.5,3.5,4.4,67.9,103.0,2022-2023,Milwaukee Bucks
171,Jevon Carter,G,27.7,4,12.3,7.7,0.0,0.0,0.0,2.0,0.5,7.0,0.143,0.278,0.278,1.3,1.0,1.0,0.3,0.0,0.0,2.3,2.3,3.3,3.5,85.0,115.4,2022-2023,Milwaukee Bucks
194,Thanasis Antetokounmpo,F,30.9,2,2.6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2022-2023,Milwaukee Bucks
207,Meyers Leonard,F-C,31.3,2,2.6,8.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,,,2022-2023,Milwaukee Bucks
32,Will Barton,G,28.44,14,23.4,48.8,21.6,8.2,26.0,0.692,80.0,0.4,55.0,0.273,0.404,0.434,9.1,4.8,10.7,1.7,11.0,0.29,0.64,0.93,7.2,95.3,107.5,2018-2019,Denver Nuggets
33,Malik Beasley,G,22.55,14,20.1,41.8,18.0,6.2,31.0,0.71,46.0,0.37,47.0,0.404,0.489,0.53,8.1,3.4,9.0,1.0,7.3,0.21,0.07,0.5,6.0,112.6,107.0,2018-2019,Denver Nuggets
34,Torrey Craig,F,28.49,14,23.6,49.2,11.0,7.3,16.0,0.563,33.0,0.485,36.0,0.472,0.601,0.605,6.6,5.1,11.4,0.9,5.1,0.5,0.36,0.43,5.3,125.8,100.8,2018-2019,Denver Nuggets
35,Gary Harris,G,24.75,14,37.0,77.0,16.0,5.9,38.0,0.868,101.0,0.525,57.0,0.351,0.525,0.569,14.2,4.1,5.9,2.3,9.3,0.86,0.57,0.79,5.5,118.9,107.0,2018-2019,Denver Nuggets
36,Nikola Jokic,C,24.32,14,39.8,82.8,26.5,10.9,78.0,0.846,205.0,0.537,56.0,0.393,0.548,0.596,25.1,13.0,17.2,8.4,37.2,1.07,0.93,2.57,14.1,126.1,100.2,2018-2019,Denver Nuggets
37,Paul Millsap,F,34.34,14,33.5,69.8,19.2,8.9,61.0,0.77,119.0,0.513,38.0,0.316,0.503,0.558,14.6,6.7,10.5,0.8,3.6,0.86,1.07,1.29,5.1,111.4,102.0,2018-2019,Denver Nuggets
38,Monte Morris,G,23.97,14,16.0,33.4,19.4,6.1,13.0,0.692,73.0,0.452,13.0,0.0,0.384,0.409,5.4,1.4,4.4,2.6,24.3,0.36,0.07,0.43,6.7,99.1,108.5,2018-2019,Denver Nuggets
39,Jamal Murray,G,22.3,14,36.3,75.7,26.5,7.3,62.0,0.903,171.0,0.462,83.0,0.337,0.476,0.53,21.3,4.4,6.3,4.7,21.7,1.07,0.14,1.57,8.4,113.6,109.9,2018-2019,Denver Nuggets
